 district|block|cluster|schoolid|schoolname|category|gender|medium_of_inst|address|area|pincode|landmark|busroutes
 bangalore|south-4|jeevan bheema nagar|32395|GTELPS NELLURPURA|Lower Primary|co-ed|telugu|Dr. Ambedkar Road, New Thhippasandra Post, Bangalore|Nellurpuram|560075|Behind Salem House Of Prayer (Church)|
 bangalore|south-1|uttara halli|32820|GKLPS YADALAM NAGARA|Lower Primary|co-ed|kannada|Yadalam Nagar, Subramanya Pura post,Bangalore|Yadalam Nagar|560061|Near Water Tank|210
 bangalore|south-1|uttara halli|32823|GKHPS AREHALLI|Upper Primary|co-ed|kannada|#24 Subramanya Pura post,Bangalore|Hare halli|560061|Near Kabbalamma Temple Hare halli|375
 bangalore|south-1|vajara halli|32876|GKLPS RAJIVGANDHINAGAR|Lower Primary|co-ed|kannada|Agara Grama Panchayath, Kanakapura Main Road, Kengeri Hobli|Rajivgandhi Nagar|560062|Near Rajivgandhi Nagar Bus Stop|212, 213
 bangalore|south-1|vajara halli|32877|GULPS MAHATHMAGANDHINAGARA|Lower Primary|co-ed|kannada|Avalahalli, B.D.A.Layout, J.P.Nagar 9th Phase, Anjanapura Post, Bangalore|Mahatma Gandhi Nagar|560062|Beside Gangadareshwara Theater|215 B
 bangalore|south-1|veerabadra nagara|32924|GKHPS AVALAHALLI (VEERABHADRANAGARA)|Upper Primary|co-ed|kannada|1st Main Road, Vinoba Colony, Mysore Road, SL Bairappa Road, BEL Post|Avalahalli|560026|Near Ambedkar Bhavan|36 A, 36 B, 37, 10
 bangalore|south-1|veerabadra nagara|32929|GKHPS VEERABHADRANAGAR|Upper Primary|co-ed|kannada|BSK 3rd Stage, Hosakerehalli Post|Veerabhadranagar|560085|Opposite Hosakerehalli Bus Stop|43 C, 43 D, 43 H, 34 C
 bangalore|south-1|veerabadra nagara|32930|GKLPS GIRINAGARAGUTTE|Lower Primary|co-ed|kannada|Kasturaba Colony, BSK 3rd Stage|Girinagarguntte|560085|Inside Maramma Temple|36 B
 bangalore|south-3|beratena agrahara|33093|GKLPS BASAVANAPURA|Lower Primary|co-ed|kannada|Basavanpura Gottigere Post|Basavanpura|560083|Water Tank (Hunuse Mara)|365
 bangalore|south-4|channasandra|32065|GKLPS KATAMNALLURU|Lower Primary|co-ed|kannada|Bangalore to Hosakote Main Road, Virgonagar Post, Bidarahalli Hobli|Katamanallur|560049|Near Eshwara Temple|317, 317 A, 317 B, 318, 328
 bangalore|south-4|channasandra|33896|GKLPS DINNURU (KANNAMANGALA)|Lower Primary|co-ed|kannada|Kannamangala Main Road, Kannamangala Post, Bidarahalli Hobli, Bangalore|Kannamangala Dinnuru|560067|Near Chaitanya Sparn|
 bangalore|anekal|anekal|32084|GKLPS SINGASANDRA|Lower Primary|co-ed|kannada|Vanakanahalli Post, Anekal Taluk, Kasaba Hobli|Singasandra|562106|Behind Singasandra Water Tank|
 bangalore|anekal|attibele|32227|GKLPS M MEDAHALLI|Lower Primary|co-ed|kannada|Mayasandra Post, Attibele Hobli, Anekal Taluk, Bangalore|M. Medahalli|562107|Near Rama & Anjaneya Swamy Temple|
 bangalore|anekal|attibele|32228|GKLPS MUTHASANDRA|Lower Primary|co-ed|kannada|Mayasandra Post, Attibele Hobli, Anekal Taluk, Bangalore|Muthasandra|562107|Near Muthasandra Bus Stop|358
 bangalore|anekal|attibele|32229|GKMBS ATTIBELE|Model Primary|co-ed|kannada|Hosur Main Road, Attibele Post, Attibele Hobli, Anekal Taluk, Bangalore|Attibele|562107|Beside Sidlu Basappa Kalyana Mantapa|360, 360 A,360 B, 600
 bangalore|anekal|byagadadenahalli|32409|GKLPS M MADIVALA|Lower Primary|co-ed|kannada|Marasuru Post, Anekal Taluk, Kasaba Hobli, Bangalore|Marasuru Madivala|562106|Beside Bandi Mahakalamma Temple|354 A, 357 A
 bangalore|anekal|byagadadenahalli|32410|GKLPS NAGANAYAKANA HALLI|Lower Primary|co-ed|kannada|Anekal to Chandapura Main Road, Byagadadenahalli Post, Kasaba Hobli, Anekal Taluk, Bangalore|Naganayakanahalli|562106|Near Manjunath Swamy Temple|356 M, 361 C
 bangalore|anekal|byagadadenahalli|32411|GKLPS SHETTIHALLI|Lower Primary|co-ed|kannada|Marasuru Post, Kasaba Hobli, Anekal Taluk, Bangalore|Shettyhalli|562106|Near Shettyhalli Bus Stop|358 A
 bangalore|anekal|harappana halli|32624|GKLPS MADAPPANADODDI|Lower Primary|co-ed|kannada|Kallubalu Post, Jigani Hobli, Anekal Taluk|Madappana Doddi|562106|Near Madappana Doddi Bus Stop|366K
 bangalore|anekal|harappana halli|32626|GKLPS MUTHURAYASWAMYDODDI|Lower Primary|co-ed|kannada|Kallubalu Post, Jigani Hobli, Anekal Taluk|Muthuraya Swamy Doddi|562106|Near Krishna Doddi Bus Stop|366K
 bangalore|anekal|harappana halli|32627|GKHPS RAGIHALLI|Upper Primary|co-ed|kannada|Ragihalli Post, Jigani Hobl,lli, Anekal Taluk|Ragihalli|560083|Opposite Ragihalli Bus Stop|370A, 370E, 370F
 bangalore|anekal|harappana halli|32628|GKLPS RAMANAYAKANADODDI|Lower Primary|co-ed|kannada|Ragihalli Post, Jigani Hobli, Anekal Taluk|Ramanayakana Doodi|560083||
 bangalore|anekal|harappana halli|32629|GKLPS SHIVANAHALLI|Lower Primary|co-ed|kannada|Ragi Halli Post, Anekal Taluk, Jigani Hobli|Shivana Halli|560083|Near Shivani Halli Bus Stop|370A, 370E, 370F
 bangalore|anekal|harappana halli|32632|GKLPS YELLAMMANADODDI|Lower Primary|co-ed|kannada|Kallubalu Post, Jigani Hobl,I, Ankela Taluk|Yellammana Doddi|562106|Behind Yellammana Doddi Bus Stop|366K
 bangalore|anekal|harappana halli|32633|GKLPS BALARBANDDE|Lower Primary|co-ed|kannada|Jigani Hobli, Anekal Taluk, Kalbalu Post|Balarabande|562106|Near Balarabande Cross Bus Stop|
 bangalore|anekal|sabmangala|33428|GKLPS RACHAMANAHALLI|Lower Primary|co-ed|kannada|Bestamanahalli Post, Kasaba Hobli, Anekal Taluk, Bangalore|Rachamanahalli|562106|Inside Ashwath Katte Compound|
 bangalore|anekal|sarjapura|32957|GKLPS MALENAHALLI|Lower Primary|co-ed|kannada|Bidaraguppe Post, Attibele Hobli, Anekal Taluk, Bangalore|Mallenahalli|562107|Near Mallenahalli Milk Dairy|
 bangalore|south-4|hoodi|32295|GKHPS MAHADEVAPURA|Upper Primary|co-ed|kannada|Whitefield Main Road, Dooravaninagar Post||560016|Opposite HB Company|
 bangalore|south-4|kylasanahalli|32601|GKLPS KANNUR|Lower Primary|co-ed|kannada|Yelahanka Main Road, Kannuru Village Post, Bangalore East|Kannuru|562149|Near Kannuru Bus Stop|293, 294A, G11, 280F, 280E
 bangalore|south-4|thanisandra|32791|GKLPS SARAI PALYA|Lower Primary|co-ed|kannada|Arabic College Post|Vidya Sagara|560077|Near Vidya Sagara Water Tank|
 bangalore|south-4|thanisandra|32798|GKLPS VADDARAPALYA (THANISANDRA)|Lower Primary|co-ed|kannada|Horamavu Agara Main Road, Horamavu Post, K.R.Puram Hobli, Bangalore|Vaddarapalya|560043|Beside Ganapathi & Gowramma Temple|294 B, 294 C, 302 G
 bangalore|south-4|varanasi|32843|GKHPS BIDARAHALLI|Upper Primary|co-ed|kannada|Virgonagar Post, Bidarahalli Hobli, Bangalore|Bidarahalli|560049|Opposite Bidarahalli Grama Panchayath Office|280 F, 301 D, 307, 308
 bangalore|south-4|varthur|32900|GKLPS PANTUR DINNE|Lower Primary|co-ed|kannada|Panthuru Post, Via Varthuru|Panthuru Dinne|560103|Near Panthuru Bus Stop|327 B, 500 D
 bangalore|south-4|varthur|32902|GKLPS KADUBESANA HALLI|Lower Primary|co-ed|kannada|Panthuru Post, Varthuru Hobli|Kadubisanahalli|560103|Near Kadubisanahalli Bus Stop|500, 336, 330 P
 bangalore|south-4|rammurthynagar|33326|GKHPS KALKERE|Upper Primary|co-ed|kannada|K.Channasandra Main Road, Horamavu Post|Kalkere|560043|Beside B.B.M.P Office|301, 301 D, 301 G, 313 F
 bangalore|south-4|rammurthynagar|33330|GKHPS K. CHANNASANDRA|Upper Primary|co-ed|kannada|Channasandra Main Road, Horamavu Post|Channasandra.K|560043|Near Channasandra.K Bus Stop|301, 301 D, 313 F, 301 G
 bangalore|south-4|immadihalli|33334|GKHPS NALLURAHALLI|Upper Primary|co-ed|kannada|White field post||560066|Opposite venugopalaswamy temple|
 bangalore|south-4|immadihalli|33335|GKLPS AMBEDKAR NAGAR|Lower Primary|co-ed|kannada|White Field Post|Ambedkar Nagar|560066|Next To Niligiri Trees|No Bus
 bangalore|south-4|immadihalli|33343|GKLPS KUMBENA AGRAHARA|Lower Primary|co-ed|kannada|K.Dommasandra Main Road, Kadugodi Post, Bidarahalli Hobli, Bangalore South|Kumbena Agrahara|560067|Near Gangamma Temple|
 bangalore|south-4|jodi huskur|33356|GKLPS KURUDUSONNENAHALLI|Lower Primary|co-ed|kannada|Medhalli To Kadugodi Main Road, Virgo Nagar Post, Bidarahalli Hobli, Bangalore|Kurudusonnenahalli|560049|Infront Kurudusonnenahalli Bus Stop|307B
 bangalore|south-1|kaggalipura|32731|GKMPS KAGGALIPURA|Model Primary|co-ed|kannada|Kanakapura Main Road, Kagglipura, Bangalore South|Kagglipura|560082|Opp Grama Panchayathi Office|211, 213, 214
 bangalore|anekal|chikkahosahalli|32513|GKHPS CHIKKAHOSALLI|Upper Primary|co-ed|kannada|Thamma Nayakana Halli Post, Anekal Thaluk, Kasab Hobli|Chikka Hosahalli|562106|Near Chikka Hosahalli Bus Stop|KSRTC
