 district|block|cluster|schoolid|schoolname|category|gender|medium_of_inst|address|area|pincode|landmark|busroutes
 bangalore|south-1|vajara halli|32868|GKHPS ALAHALLI|Upper Primary|co-ed|kannada|avalahalli south range- 1|bangalore|560062|masjid|
 bangalore|north-4|yelehanka new town|32894|GKLPS RAMAGONDANAHALLI|Lower Primary|co-ed|kannada|||560064|near ramgondahallibus stop|
 bangalore|north-1|madanayakanahalli|33292|GKHPS SRIKANTAPURA|Upper Primary|co-ed|kannada||bangalore|560073|opposite oxford public school|
 bangalore|south-2|chamarajpet|32136|GTHPS BELIMUTT|Upper Primary|co-ed|tamil|belimutt road bangalore- 53|bangalore|560053|bakshigarden arch near super talkies|
 bangalore|anekal|chikkahosahalli|32514|GKHPS INDILWADI|Upper Primary|co-ed|kannada|Indalwadi Post, Anekal Thaluk, Kasab Hobli|Indalwadi|562107|Opp Indalwadi Bus Stop|KSRTC
 bangalore|anekal|hebbagodi|32701|GKHPS HEBBAGODI|Upper Primary|co-ed|kannada|Bommasandra Post, Anekal Taluk, Hosur Road|Hebagodi|560099|Opposite Hebbagodi Bus Stop|360, 373 A, 356, 351
 bangalore|anekal|dommasandra|32914|GKHPS JANATHA COLONY|Upper Primary|co-ed|kannada|Muthanallur Cross To Main Road, Dommasandra Post, Sarjapura Hobli, Anekal Thaluk, Bangalore|Janatha Colony|562125|Near Veeranjanaya Ground|342,342A,342F,342R,G3
 bangalore|anekal|dommasandra|32916|GKHPS ITTANGURU|Upper Primary|co-ed|kannada|Sarjapur Post, Sarjapur Hobli, Anekal Taluk, Bangalore|Ittangur|562125|Opp Ashwath Katte & Bus Stop (Ittangur)|342W
 bangalore|anekal|dommasandra|32923|GKLPS YAMRE|Lower Primary|co-ed|kannada|Dommasandra Post, Sarjapura Hobli, Anekal Taluk|Yamare|562125|Infront Yamare Bus Stop|342, 342 A, 342 F, 342 R, G3
 bangalore|anekal|sarjapura|32944|GKHPS ADIGARAKALLAHALLI|Upper Primary|co-ed|kannada|Bidaraguppe Post, Srajapura Hoblik, Anekal Taluk|Adigarakallahalli|562107|Behind Adigarakallahalli Bus Stop|342 K Last Stop
 bangalore|anekal|huskuru|32851|GKLPS AVALAHALLI (HUSKUR)|Lower Primary|co-ed|kannada|Huskur Post, Anekal Taluk|Avala Halli|560099|Near Avala Halli Railway Gate|No Bus
 bangalore|anekal|haragadde|32801|GKHPS HARAGADDE|Upper Primary|co-ed|kannada|Haragadde Post, Anekal Taluk|Haragadde|560105|Near Haragadde Bus Stop|365Z, 366, 372
 bangalore|north-1|chikkabidarakallu|32150|GKHPS DODDABIDARAKALLU|Upper Primary|co-ed|kannada|Nagasandra Post, Yeshwanthpura Hobli, N-1||560073|Opposite Doddabidarakallu Bus Stop|263 A
 bangalore|anekal|dommasandra|32913|GKHPS (GIRLS)DOMMASANDRA|Upper Primary|girls|kannada|Santhe Beedi, Dommasandra Post, Sarjapura Hobli, Anekal Taluk|Dommasandra|562125|Near Nagara Ashwath Katte|342, 342 A, 342 R, 342 F, G3
 bangalore|anekal|sarjapura|32946|GKHPS HANDENAHALLI|Upper Primary|co-ed|kannada|Handenahalli Post, Sarjapura Hobli, Anekal Taluk|Handenahalli|562125|Behind Handenahalli Bus Stop|349 A, 351 J, 360 J
 bangalore|anekal|hennagra|33437|GKHPS HENNAGARA|Upper Primary|co-ed|kannada|Hennagara Post, Jigani Hobli, Anekal Taluk, Bangalore|Hennagara|562106|Near Hennagara Grama Panchayath Office|352, 352E
 bangalore|anekal|sabmangala|33411|GKHPS GERETIGANABELE|Upper Primary|co-ed|kannada|Geratiganabele Village, Samandur Post, Kasba Hobli, Anekal Taluk, Bangalore|Geratiganabele|562106|Opp Ashwath Katte|
 bangalore|north-1|chikkabidarakallu|32156|GKLPS MUNISWAMAPPA BADAVANE|Lower Primary|co-ed|kannada|Nagasandra Post, Yeshwantpura Hobli, N-1|Muniswamappa Layout|560073|Near Thipenahalli Bus Stop|
 bangalore|north-2|hebbal|32031|GULPS BHUVANESHWARI NAGAR|Lower Primary|co-ed|urdu|R T Nagar Post,3rd Cross,Sultan Palya Main Road|Bhuvaneshwari Nagar|560032|Masjid Inside|415B,415F
 bangalore|north-2|hebbal|32032|GUMPS CHAMUNDINAGAR|Model Primary|co-ed|urdu|R T Nagar Post,3rd Cross|Chamundi Nagar|560032||
 bangalore|north-4|bagalur|32045|GKLPS BYLAHALLI|Lower Primary|co-ed|kannada|B.K.Halli Post, Chikajala Hobli, Bangalore North|Bylahalli|562149|Opp Anjeneya Temple|289M
 bangalore|north-4|kakolu|32571|GKHPS KAKOLU|Upper Primary|co-ed|kannada|KakoluPost, Hesaraghatta Hobli|Kakolu|560089|Kakolu Bus Stop Opposite Road|285L, 406, 409
 bangalore|north-4|kakolu|32588|GKLPS SONNENAHALLI (KAKOLU)|Lower Primary|co-ed|kannada|Byatha Post, Hesaraghatta Hobli|Sonnenahalli|560089|Opposite Sonnenahalli Bus Stop|285L, 406, 409
 bangalore|north-4|yelehanka old town|32934|GKLPS MADAPPANAHALLI (RAJANA KUNTE)|Lower Primary|co-ed|kannada|Rajankunte Post, Hesaraghatta Hobli|Madappanahalli|560089|Opposite Madappanahalli Bus Stop|285D, H
 bangalore|north-4|yelehanka old town|32938|GKLPS HOROHALLI|Lower Primary|co-ed|kannada|Singanayakanahalli Post, Yelahanka Hobli|Horohalli|560064|Horohalli Bus Stop Left Side|285A
 bangalore|north-4|yelehanka old town|32941|GTHPS KAMAKSHAMMA LAYOUT|Upper Primary|co-ed|telugu|Yelahanka Post|Kamakshamma Layout|560064|Near Railway Station|284,401,291D
 bangalore|north-4|mathahalli|33237|GKHPS  PILLAHALLI|Upper Primary|co-ed|kannada|Arishinakunte Post, Dasanapura Hobli, N-4|Pillahalli Colony|562123|Near Pillahalli Colony Bus Stop|255 C, 255 K
 bangalore|south-2|kalasipalya|32439|GKHPS G.R.GALLI|Upper Primary|co-ed|kannada|Gurukar Ramanayakana Lane, S.P.Road Cross, Bangalore|NagarathPete|560002|Opp Karthik Shubdeep Apartments|
 bangalore|south-1|vajara halli|32869|GKHPS BANJARAPALYA|Upper Primary|co-ed|kannada|Thataguni Post, Kengeri Hobli|Banjarapalya|560062|Banjarpalya Bus Stop|216, A
 bangalore|south-1|huluvenahalli|33042|GKLPS UDDHANDANA HALLI|Lower Primary|co-ed|kannada|Chikkanahalli Post, Thaverekere Hobli||562130|Near Uddhandanahalli Bus Stop|227 D
 bangalore|south-4|channasandra|32058|GKHPS SEEGEHALLI|Upper Primary|co-ed|kannada|Kadugodi Main Road, Kannamangala Post B Hobli|Seegehalli|560067|Near Seegehalli Bus Stop|328, 329, 399
 bangalore|south-4|channasandra|32062|GKLPS CHIKKABANAHALLI|Lower Primary|co-ed|kannada|Kannamangala Post, Bidarahalli Hobli, Bangalore|Chikkabanahalli|560067|Near Chikkabanahalli Bus Stop|307 C
 bangalore|south-4|doddakanneli|32190|GKLPS SULIKUNTE|Lower Primary|co-ed|kannada|Dommasandra Post|Sulikunte|562125|Opposite Ashwath Katte|342 A-Z
 bangalore|south-4|doddakanneli|32195|GKLPS JUNNASANDRA|Lower Primary|co-ed|kannada|Karmela Ram Post, Sarjapura Main Road|Junna Sandra|560035|Opposite Royal Bakery & Sweets|342 A-Z
 bangalore|south-4|hoodi|32304|GKLPS KUNDALAHALLI COLONY|Lower Primary|co-ed|kannada|Mahadevapura post|Kundalahalli colony|560037|Ashwath katte opposite|335,500K,326F
 bangalore|south-4|kylasanahalli|32591|GKHPS BILISHIVALE|Upper Primary|co-ed|kannada|Rampura Main Road, Doddagubbi Post, Bidarahalli Hobli|Bileshivale|560077|Near Bileshivale Bus Stop|294, 294 D, 295, 295 A
 bangalore|south-4|immadihalli|33341|GKMPS IMMADIHALLI|Model Primary|co-ed|kannada|Immadi Halli Post|Immadi Halli|560066|Opposite B.B.M.P Office|320A, 320B, 324A, 324B
 bangalore|anekal|attibele|32216|GKHPS ATTIBELE(GIRLS)|Upper Primary|girls|kannada|Sante Beedi,Hosur Main Road, Attibele Post, Attibele Hobli, Anekal Taluk, Bangalore|Attibele|562107|Beside Attibele Bus Stand|360, 360 A,360 B, 600
 bangalore|south-4|kylasanahalli|32596|GKLPS BANDEBOMMASANDRA|Lower Primary|co-ed|kannada|School Road, Doddagubbi Post, Bidarahalli Hobli, Bangalore East - 4|Bande Bommasandra|560077|Near Muneshwara Swamy Temple & Pattalamma Temple|293 B, 293 L, 294 B, 296
 bangalore|south-4|thanisandra|32789|GKHPS R.K HEGDENAGAR|Upper Primary|co-ed|kannada|Shivarama Karanth Nagar Post||560077|Near Ramakrishna Hegadenagar Water Tank|290 E, 290 F, G10, 291 J, 291 E
 bangalore|south-4|thanisandra|32790|GKHPS THANISANDRA|Model Primary|co-ed|kannada|Shivarama Karath Nagar Post|Thani Sandra|560077|Near Thani Sandra Bus Stop|290J
 bangalore|south-4|varanasi|32839|GKHPS DODDAGUBBI|Upper Primary|co-ed|kannada|Doddagubbi Post, Bidarahalli Hobli, Bangalore East|Doddagubbi|562149|Opposite Eshwara Temple|293 B, 295 A, 295 B, 295 D
 bangalore|south-4|varthur|32910|GKHPS HARLOOR|Lower Primary|co-ed|kannada|H.S.R Layout Post|Haraluru|560102|Opposite Kasavanahalli Lake|341 A
 bangalore|south-4|immadihalli|33336|GKLPS PATTANDUR AGRAHARA|Lower Primary|co-ed|kannada|Whitefield Post|Patanduru|560066|Near Booming Bakery & Sweets|
 bangalore|anekal|anekal|32077|GKHPS DK BAGILU|Upper Primary|co-ed|kannada|Vishweshwaraiah Badavane, Anekal Post, Anekal Town, Anekal Taluk, Bangalore|Doddakere Bagilu|562106|Near Munivenkatappa School|
 bangalore|north-1|mallasandra|33283|GKHPS NAGASANDRA|Upper Primary|co-ed|kannada|Nagasandra Post, Yeshwantpur Hobli,|Nagasandra|560073|Opposite Nagasandra Bus Stop|263
 bangalore|north-1|mallasandra|33286|GKLPS NAGASANDRA COLONY|Lower Primary|co-ed|kannada|Nagasandra Post, Yeshwantpur Hobli, N-1|Nagasandra|560073|Near Deepak Stop or Nagasandra Stop|258 A-Z, 263
 bangalore|north-1|mallasandra|33287|GKLPS RAVINDRANAGAR|Lower Primary|co-ed|kannada|Jalahalli West Post, N-4|Ravindranagar|560015|Inside B.B.M.P. Office Compound|207 B, 207 E
 bangalore|north-1|mallasandra|33288|GKLPS SHIVAPURA|Lower Primary|co-ed|kannada|T.Dasarahalli Post, N-4|Shivapura|560057|Near NTTE Bus Stop|248, 258
 bangalore|north-1|madanayakanahalli|33290|GKHPS MADANAYAKANAHALLI|Lower Primary|co-ed|kannada|Madavara Post, Dasanpura Hobli, Bangalore North 1|Madanayakanahalli|562123|Opposite Madanayakanahalli Bus Stop|
 bangalore|north-1|madanayakanahalli|33293|GKLPS DOMBARAHALLI|Lower Primary|co-ed|kannada|Laxmipura Post, Dasanpura Hobli, North 1|Dombarahalli|562123|Near Dombarahalli Bus Stop|
 bangalore|north-1|madanayakanahalli|33294|GKLPS HANUMANTASAGARA|Lower Primary|co-ed|kannada|Madavara Post, Dasanpura Hobli, Bangalore North 1|Hanumantha Sagara|562123|Near Nelamangala Main Road (Madanayakanahalli Bus Stop)|
 bangalore|north-1|madanayakanahalli|33295|GKLPS HOTTAPPANAPALYA|Lower Primary|co-ed|kannada|Laxmipura Post, Dasanpura Hobli|Hottappanapalya|562123|Near T.C.I Bus Stop|258
 bangalore|north-1|madanayakanahalli|33296|GKLPS KADRENAHALLI|Lower Primary|co-ed|kannada|Laxmipura Post, Dasanpura Hobli|Kadirenahalli|562123|Behind Kadirenahalli Bus Stop|263 C
 bangalore|north-1|madanayakanahalli|33298|GKLPS KOLLIGANAHALLI|Lower Primary|co-ed|kannada|Laxmipura Post, Dasanpura Hobli|Koliganahalli|562123|Near Kammasandra Cross Bus Stop|263
 bangalore|north-2|hebbal|32028|GKLPS VISHWANATH NAGENAHALLI|Lower Primary|co-ed|kannada||Vishwanath Nagenahalli|560036|Nedar Sant Paul Hermit Church|
 bangalore|south-1|kumbalagodu|31991|GKLPS SEEGEHALLI (ANCHEPALYA)|Lower Primary|co-ed|kannada|K.Gollahalli Post, Kengeri Post, S-1|Seegehalli|560060|Near Seegehalli Bus Stop|228 C
 bangalore|south-1|taverekere|32234|GKHPS TAVAREKERE|Upper Primary|co-ed|kannada|Magadi Main Road, Tavarekere Post, Tavarekere Hobli, Bangalore|Tavarekere|562130|Opposite Tavarekere Police Station|242 A, 242 B, 242 Z
 bangalore|south-1|taverekere|32249|GULPS TAVAREKERE (TAVAREKERE)|Lower Primary|co-ed|urdu|Magadi Main Road, Tavarekere Post, Tavarekere Hobli, Bangalore|Tavarekere|562130|Beside Masjid & Near Tavarekere Bus Stop|242 A, 242 B, 242 Z
 bangalore|south-1|kengeri|32418|GKHPS BABASABARAPALYA|Upper Primary|co-ed|kannada|Mysore Road, Kengeri Post, Kengeri Hobli, Bangalore|Babasabara Palya|560060|Opposite Panchmukhi Ganesh Temple|226, 227, 228
 bangalore|south-1|kengeri|32419|GKHPS DODDABELE|Upper Primary|co-ed|kannada|Vidyapeeta Post, Kengeri Hobli, Bangalore|Doddabele|560060|Opposite Anjaneya Swamy Temple|220 D, 220 E
 bangalore|south-1|kengeri|32427|GKLPS GANAKALLU (KENGERI)|Lower Primary|co-ed|kannada|Kengeri To Uttarahalli Road, Kengeri Post, Kengeri Hobli, Bangalore|Ganakallu|560060|Opposite Basaveshwara Swamy Temple And Beside Ashwath Katte|225F, 375, 378
 bangalore|south-1|ramasandra|32533|GKHPS RAMASANDRA (RAMASANDRA)|Upper Primary|co-ed|kannada|Sulikere Post, Kengeri Hobli, S-1|Ramasandra|560060|Near Ramasandra Bus Stop|223 E
 bangalore|south-2|kalasipalya|32440|GNTKHPS  ANJANAPPA GARDEN|Lower Primary|co-ed|kannada|Mysore Road,4th Cross,1st main Road|Anjanappa Garden|560018|Near Vinayaka Theatre Bus Stop|155,T4,56
 bangalore|south-2|kalasipalya|32441|GKLPS KEMMANGUNDI|Lower Primary|co-ed|kannada|Kemmannu Gundi Road,Good Sheed Road|Bhakshi Garden|560053|Near Vinayaka Theatre Bus Stop|234225
 bangalore|south-2|kalasipalya|32443|GKMPS VIDYAGANAPATI ARALEPET|Model Primary|co-ed|kannada|Cottenpet Main Road,Jolly Mahal|Aralle Pete|560053|Near Super Theatre Bua Stop|234225
 bangalore|south-2|kalasipalya|32444|GKTHPS ANJANAPPA GARDEN|Lower Primary|co-ed|tamil|Mysore Road,4th Cross,1st main Road|Anjanappa Garden|560018|Near Vinayaka Theatre Bus Stop|155,T4,56
 bangalore|south-2|kalasipalya|32446|GUHPS KALASIPALYA|Upper Primary|co-ed|urdu|Lalbagh Road, Kalasipalyam Post, Bangalore|Kalasipalya|560002|Opp Kims Hospital|58, 59, 15 E, 31, 31 E, 210
 bangalore|south-2|kalasipalya|32447|GUHPS KUMBARPET|Upper Primary|co-ed|urdu|Lalbagh Road, Kalasipalyam Post, Bangalore|Kumbarapete|560002|Opp Kims Hospital|58, 59, 15 E, 31, 31 E, 210
 bangalore|south-2|kalasipalya|32448|GULPS JOLLYMOHALLA|Lower Primary|co-ed|urdu|Cottanpet main Road,Jolly Mahalla|Sulthan pet (Jolly Mahalla)|560053|Near Super Theatre Bua Stop|234225
 bangalore|south-2|kalasipalya|32451|GUMPBS BARLANE|Model Primary|co-ed|urdu|Old Pension Mohalla,1st Cross,TCM Royan Road|Barlane|560053|Near Vinayaka Theatre Bus Stop|155,T4,56
 bangalore|south-2|kalasipalya|32453|GUMPGS BARLANE|Model Primary|co-ed|urdu|Old Pension Mohalla,1st Cross,TCM Royan Road|Barlane|560053|Near Vinayaka Theatre Bus Stop|155,T4,56
 bangalore|south-2|chickpet|33069|GKHPS AVENUE ROAD|Upper Primary|co-ed|kannada|Sanjeevappa Lane, Avenue Road Cross, Bangalore|Avenue Road|560002|Opp Rice Memorial Church|
 bangalore|south-2|chickpet|33071|GKHPS POORNAIAHCHATRA|Upper Primary|co-ed|kannada|Thulasi Thotada Road, Thulasi Thota, Bangalore|Balepete|560053|Opp Bala Anjaneya Swamy Temple & Near Chikka Lalbagh|49, 52, 52 E
 bangalore|south-2|chickpet|33072|GKMPS SINDI CHICKPET|Model Primary|co-ed|kannada|M.B.T. Street, Nagarathpete Cross, Bangalore|Halsoorpet||Opp Shri Ajitha Jain Mandir & Near Lakshmi Narashima Swamy Temple|
 bangalore|south-2|chickpet|33073|GKLPS DODDAMAVALLI|Upper Primary|co-ed|kannada|Lalbagh Fort Road, 4th Cross, V.V.Puram Post, Bangalore|Doddamavalli|560004|Beside Shifaa Dental Clinic|342, 360, 366
 bangalore|south-2|chickpet|33074|GUHPS BADAMAKAN|Upper Primary|co-ed|urdu|H.Siddaiah Road, Wilson Garden Post, Bangalore|Badamakan|560027|Beside Wakfs Board Office|12 B, 181, 366, 360, 342
 bangalore|south-2|govindarajnagar|33088|GKHPS MALGAL JANATHA COLONY|Upper Primary|co-ed|kannada|1st Main Road, Panchashila Nagar, Banaglore|Moodala Palya|560072|Near Manasa Gangotri School|235A, 238, 401K
 bangalore|south-3|yellukunte|32641|GKHPS HARALUKUNTE|Lower Primary|co-ed|kannada|Agara Post, Begur Hobli, S-3|Somasandrapalya|560102|Near Somasandrapalya Bus Stop|347 F
 bangalore|south-4|channasandra|32057|GKHPS KHAJISONNENAHALLI|Upper Primary|co-ed|kannada|Kannamangala Main Road, Kannamangala Post, Bidarahalli Hobli, Bangalore|Khajisonnenahalli|560067|Near Narasimha Swamy Temple|317 B, 319, 333
 bangalore|south-4|marathahalli|32681|GKHPS ASHWATH NAGAR|Upper Primary|co-ed|kannada|Marthahalli bridge,9th cross,marathahalli post|Ashwath nagar|560037|Opposite Indian A V Asian college|328600504
 bangalore|anekal|attibele|32217|GKHPS BALLUR|Upper Primary|co-ed|kannada|T.V.S Road, Attibele Post, Attibele Hobli, Anekal Taluk, Bangalore|Balluru|562107|Near Anjaneya Swamy Temple|360 C
 bangalore|anekal|attibele|32218|GKHPS  DASANAPURA|Upper Primary|co-ed|kannada|T.V.S Road,Mayasandra Post, Attibele Hobli, Anekal Taluk, Bangalore|Dasanapura|562107|Near Anjaneya Swamy Temple|360
 bangalore|anekal|bannerughatta|32317|GKHPS BANNERUGHATTA|Upper Primary|co-ed|kannada|Anekal Road, Anekal Taluk, Jigani Hobli, Bannerghatta Post|Bannerghatta|560083|Behind Bannerghattra Bus Stop|371D, 365,
 bangalore|anekal|bannerughatta|32318|GKHPS BEGIHALLI|Upper Primary|co-ed|kannada|Anekal Taluk, Jigani Hobli, Jigani Post|Ragihalli|562106|Near Begihalli Bus Stop|366
 bangalore|anekal|bannerughatta|32319|GKHPS BILWARDHANAHALLI|Lower Primary|co-ed|kannada|Bannerghatta Post, Jigani Hobli, Anekal Taluk|Shanubhoganahalli|560083|Opposite Shanubhoghanahalli Bus Stop|Atal Sarige, 366 M, 366 MA
 bangalore|anekal|bannerughatta|32320|GKHPS BYATARAYANA DODDI|Upper Primary|co-ed|kannada|Bannerghatta Post, Jigani Hobli, Anekal Taluk|Byatarayanadoodi|560083|Opposite Byatarayanadoodi Bus Stop|366 M, 366 MA, 215 Z
 bangalore|anekal|harappana halli|32614|GKHPS HARAPPANAHALLI|Upper Primary|co-ed|kannada|Jigani Main Road, Jigani Post, Jigani Hobli, Anekal Taluk|Harappana Halli||Harappana Halli Bus Stop Opposite Road|372
 bangalore|anekal|sabmangala|33423|GKHPS BESTHAMANAHALLI|Upper Primary|co-ed|kannada|Rachamanahalli Road, Gomala, Anekal to Attibele Main Road, Bestamanahalli Post, Anekal Taluk, Bnagalore|Bestamanahalli|562106|Near Chowdeshwari Temple|399 C
 bangalore|north-2|hebbal|32029|GKMPS HEBBAL|Model Primary|co-ed|kannada|Devanahalli Main Road, 1st Main Road, Hebbal Post, Bangalore|Hebbal|560024|Beside Hebbal Police Station|284,287,289,298 M
 bangalore|north-4|byatarayanapura|32174|GKHPS CHOKKENAHALLI|Upper Primary|co-ed|kannada|Chokkanahalli Village, Jakkur Post, Yelahanka Hobli, Bangalore|Chokkanahalli|560064|Infront Chokkkanahalli Bus Stop|286 B
 bangalore|north-4|khudregere|32666|GKHPS KUDUREGERE|Upper Primary|co-ed|kannada|Aluru Post, Dasanapura Hobli, Bangalore North|Kuduregere|562123|Beside Byraveshwara Swamy Temple|257D, 250SA, 250T
 bangalore|south-4|marathahalli|32676|GKHPS CHALLAGHATTA|Lower Primary|co-ed|kannada|Yamalura post,Bangalore|Challaghatta|560037|Near Shiva Temple|334B,334C,400F
 bangalore|south-1|mallathahalli|32967|GKHPS JNANABHARATHI|Lower Primary|co-ed|kannada|||560056||
 bangalore|south-1|mallathahalli|32969|GKHPS MUTTURAYANA NAGARA|Upper Primary|co-ed|kannada|||560060|railway track|
 bangalore|south-3|domlur|33128|GKLPS ASHOKNAGAR|Lower Primary|co-ed|kannada|johnson market ashok nagar|bangalore|560025|near m.g.road|
 bangalore|north-1|chikkabidarakallu|32155|GKLPS GANGONDANAHALLI COLONY|Lower Primary|co-ed|kannada|Lakshmipura Post, Dasanapura Hobli, N-1|Gangondanahalli Colony|562126|Near Gangondanahalli Colony Bus Stop|263 G, 263 B
 bangalore|north-4|byatarayanapura|32172|GKHPS SHREERAMAPURA|Upper Primary|co-ed|kannada|Jakkuru Post, North 4|Shree Rampura|560064|Near Shree Rampura Bus Stop|291B, 286D, 286R, 286F
 bangalore|anekal|bannerughatta|32321|GKHPS KANNA NAYAKANA AGRAHARA|Upper Primary|co-ed|kannada|Bannerghatta post, Anekal Taluk, Jigani Post|Kanna Nayakana Agrahara|560083|Beside Kulume Palya Bus Stop|0
 bangalore|south-4|marathahalli|32685|GKLPS MANJUNATHA NAGAR|Lower Primary|co-ed|kannada|1st Main Road, Manjunath Nagar Main Road, Maratha Halli Ring ROad|Manjunath Nagar|560037|Near Manjunath Nagar Bus Stop|330, 332, 335
 bangalore|anekal|huskuru|32852|GKHPS BOVIPALYA|Upper Primary|co-ed|kannada|Huskur Post, Anekal Taluk|Shanthipura (Bhovipalya)|0|Opposite Shanthipura (Bhovipalya) Water Tank|349 L
 bangalore|south-3|domlur|33137|GUMPS YELLAGONDANAPALYA|Model Primary|co-ed|urdu|Liden Street,Vivek Nagar Post|Y G Palya|560047|Yela Gonda Palya|140, 143
 bangalore|north-3|kaval byrasandra|33152|GKLPS SHAMPURA|Lower Primary|co-ed|kannada|L.R. Bande Main Road, Arabic College Post, Bangalore|Shampura|5600045|Beside Ashwath Katte|290 K, 415 E
 bangalore|north-1|kamakshipalya|32359|GKMPS AGRAHARA DASARAHALLI|Model Primary|co-ed|kannada|jai munirao circle magadi main road agrahara dasarahalli|bangalore|560079|jai munirao circle  bus stop|
 bangalore|anekal|sarjapura|32948|GKHPS NARASAPURA|Upper Primary|co-ed|kannada|attibele post anekal taluk|bangalore|562107|arali mara|
 bangalore|anekal|mugaluru|33361|GKHPS KUGURU|Upper Primary|co-ed|kannada|Kugur Post,Anekal Taluk,Sarjapura Hobli|Kugur|562125|Behind Kugur Bus Stop|323B,327G
 bangalore|anekal|haragadde|32802|GKHPS LINGAPURA|Upper Primary|co-ed|kannada|Haragadde Post, Anekal Taluk|Lingapura|560105|Haragadde To Lingapura Main Road|
 bangalore|north-1|chikkabidarakallu|32153|GKHPS THIPPENAHALLI|Upper Primary|co-ed|kannada|Nagasandra Post, Yeshwantpura Hobli, N-1|Thipenahalli|560073|Opposite Thipenahalli Bus Stop|263 A
 bangalore|anekal|hebbagodi|32700|GKHPS CHATHRAKANE|Upper Primary|co-ed|kannada|Chandapura Circle, Banahalli Road, Chandapura Post, Attibele Hobli, Anekal Taluk, Bangalore|Chandapura|560081|Beside Bank Of India (Chandapura Branch)|356, 360, 360 A, 360 B
 bangalore|anekal|hennagra|33430|GKHPS HULIMANGALA|Upper Primary|co-ed|kannada|Hulimangala Post, Anekla Taluk, Jigani Hobli|Hulimangala|562106|Near Hulimangala Bus Stop|345A, 356
 bangalore|anekal|hebbagodi|32699|GKHPS BOMMASANDRA|Upper Primary|co-ed|kannada|Bommasandra Post, Attibele Hobli, Anekal Taluk, Bangalore|Bommasandra|560099|Beside Bommasandra Milk Dairy|
 bangalore|anekal|hebbagodi|32702|GKHPS HEELALIGE|Lower Primary|co-ed|kannada|Chandapura Post, Anekal Taluk, Via Attibele Hobli, Bangalore South|Heelalige|560081|Opp Anjaneya Temple|356E
 bangalore|anekal|hennagra|33429|GKHPS BINGIPURA|Upper Primary|co-ed|kannada|Hulimangala Post, Anekla Taluk, Jigani Hobli|Bingipura|562106|Beside Bingipura Bus Stop|345
 bangalore|south-4|marathahalli|32683|GKLPS BELUR NAGASANDRA|Lower Primary|co-ed|kannada|Yamaluru post,Bangalore|Beluru Nagasandra|560037|Near Chowdeshwari Temple|334B,334C,400F
 bangalore|south-4|marathahalli|32686|GKMPS YAMALUR|Model Primary|co-ed|kannada|Yemalur Main Road, Yemaluru Post, Samudaya Bhavan|Yemalur|560037|Opposite Yamalur Bus Stop|336 A, 336 B, 336 C
 bangalore|south-4|marathahalli|32679|GKHPS MUNNEKOLALA|Upper Primary|co-ed|kannada|Marathahalli Post, Bangalore|Munnekolala|560037|Near Lakshmi Narayana Temple|338,338H
 bangalore|south-4|marathahalli|32678|GKMPS MARATHAHALLI|Model Primary|co-ed|kannada|C.T. Street, A.K. Colony, South 4|Marathahalli|560037|Near Maratha Halli Bus Stop|330, 332, 335
 bangalore|south-4|marathahalli|32687|GULPS SANJAY NAGAR|Lower Primary|co-ed|urdu|16th Cross, Manjunath Nagar Main Road|Sanjay Nagar|560037|Near Manjunath Nagar Bus Stop|330, 332, 335
 bangalore|south-4|marathahalli|32680|GKHPS SANJAY NAGAR|Upper Primary|co-ed|kannada|13th Cross, Manjunath Nagra Main Road|Sanjay Nagar|560037|Near Manjunath Nagar Bus Stop|330, 332, 335
 bangalore|south-2|kalasipalya|32449|GUHPS MOTHINAGAR|Upper Primary|co-ed|urdu|1st Cross, 3rd Main Road, Mothi Nagar, Kalasipalyam New Extension, Bangalore|Kalasipalyam|560002|Near Jaipur Golden|0
 bangalore|south-2|chickpet|33070|GKHPS MAMULPET|Upper Primary|co-ed|kannada|# 29, Maharaja Plaza, Bangalore|Mamulpete|560053|Beside Poonam Fashions|
 bangalore|south-2|kalasipalya|32442|GKMPS SULTHANPET|Model Primary|co-ed|kannada|# 29, Maharaja Plaza, Bangalore|Sulthanpete|560053|Beside Poonam Fashions|
 bangalore|south-2|k p agrahara|32346|GKHPS KADAPASWAMYMUTT|Upper Primary|co-ed|kannada|22nd Cross, Bhuvaneshwari Nagar, Kadapa Swamy Temple Road, Bangalore|K.P.Agrahara|560023|Near K.P.Agrahara Bus Stop|55 B, 55 E
 bangalore|south-3|domlur|33132|GTLPS JOGUPALYA|Lower Primary|co-ed|tamil|Jogupalya Main Road, Halasur|Jogupalya|560008|Opposite Mahanagara Palike Boys High School|201, 311, 314, 317
 bangalore|south-2|govindarajnagar|33090|GKLPS KAVERIPURA|Lower Primary|co-ed|kannada|Muneshwara Nagar, BDA Layout, 5th Main Road, 5th Cross|Kaveripura|560079|Near Sri Prasanna Primary And High School|235, 235A, 235B, 235C
 bangalore|south-2|govindarajnagar|33092|GULPS GOVINDARAJNAGAR|Lower Primary|co-ed|urdu|Corporation Colony, 2nd Main Road, 3rd Cross|Govindraj Nagar|560040|Near Masjid - E - Ayesha|235, 235A, 235B, 235C
 bangalore|north-2|sheshadripuram|33180|GKHPS GANDHINAGAR|Upper Primary|co-ed|kannada|4th Cross, 5th Main Road, Gandhi Nagar, Bangalore|Gandhi Nagar|560009|Compound Inside B.E.O.Office|0
